t,qx,qy,qz,qw
0.0,-0.02449607662856579,-0.20002004504203796,0.062320686876773834,-0.9775010347366333
0.02,-0.026297910138964653,-0.20573893189430237,0.06302984058856964,-0.9762208461761475
0.036,-0.027745312079787254,-0.21004490554332733,0.06361044198274612,-0.9752256870269775
0.06,-0.029921237379312515,-0.21605539321899414,0.06452662497758865,-0.9737870693206787
0.08,-0.03173377364873886,-0.22066077589988708,0.06533201783895493,-0.9726426005363464
0.1,-0.033535998314619064,-0.22490867972373962,0.06616977602243423,-0.9715518355369568
0.124,-0.035681359469890594,-0.2295820564031601,0.06721657514572144,-0.9703097343444824
0.144,-0.037455204874277115,-0.23321527242660522,0.06812409311532974,-0.9693126082420349
0.16,-0.038863323628902435,-0.23597006499767303,0.06887249648571014,-0.9685372114181519
0.18,-0.04060591757297516,-0.23921683430671692,0.06983597576618195,-0.9675998091697693
0.196,-0.041983235627412796,-0.24165302515029907,0.0706300213932991,-0.966877818107605
0.216,-0.04367898032069206,-0.24449050426483154,0.07165084034204483,-0.9660137891769409
0.232,-0.04501422122120857,-0.24659761786460876,0.07249747961759567,-0.9653535485267639
0.252,-0.04665243253111839,-0.24903759360313416,0.07358425855636597,-0.9645668864250183
0.276,-0.04856806993484497,-0.25169214606285095,0.0749252587556839,-0.9636796116828918
0.3,-0.050421614199876785,-0.2540549337863922,0.07630260288715363,-0.9628560543060303
0.316,-0.05161770060658455,-0.2554725408554077,0.07723958790302277,-0.9623426795005798
0.336,-0.05306382104754448,-0.2570720613002777,0.0784291997551918,-0.9617416858673096
0.36,-0.05473005399107933,-0.25875136256217957,0.07989545911550522,-0.9610771536827087
0.376,-0.05579940974712372,-0.2597385048866272,0.080895334482193,-0.9606655836105347
0.4,-0.05733410641551018,-0.2610251009464264,0.08241460472345352,-0.9600972533226013
0.42,-0.05855383351445198,-0.2619483470916748,0.0836956799030304,-0.9596611857414246
0.448,-0.06018415093421936,-0.2631770372390747,0.08547569811344147,-0.9590671062469482
0.472,-0.06148918718099594,-0.2641970217227936,0.08688124269247055,-0.9585774540901184
0.492,-0.06253128498792648,-0.26500794291496277,0.08807405829429626,-0.9581772089004517
0.508,-0.06333407759666443,-0.2656167447566986,0.08903586864471436,-0.9578670263290405
0.524,-0.06411237269639969,-0.2661837339401245,0.0900062769651413,-0.9575671553611755
0.548,-0.06523917615413666,-0.2669490575790405,0.09148748219013214,-0.9571374654769897
0.568,-0.06614727526903152,-0.26750558614730835,0.09275133907794952,-0.9567980766296387
0.584,-0.06686166673898697,-0.2678897976875305,0.09379930794239044,-0.9565387964248657
0.6,-0.06757870316505432,-0.26821357011795044,0.09492909908294678,-0.9562861323356628
0.616,-0.06829521805047989,-0.26848331093788147,0.09610233455896378,-0.9560423493385315
0.632,-0.06900636851787567,-0.2686963975429535,0.09729371219873428,-0.9558108448982239
0.648,-0.06971580535173416,-0.26885414123535156,0.09850369393825531,-0.955591082572937
0.668,-0.0706137865781784,-0.26897576451301575,0.10008752346038818,-0.9553263187408447
0.692,-0.0717017650604248,-0.26901310682296753,0.10202782601118088,-0.9550293684005737
0.712,-0.072616346180439,-0.2689506709575653,0.10365811735391617,-0.9548022747039795
0.732,-0.07355204969644547,-0.26879847049713135,0.10531756281852722,-0.9545919299125671
0.752,-0.07451765239238739,-0.2685612738132477,0.10700999200344086,-0.9543954730033875
0.772,-0.07550237327814102,-0.2682504653930664,0.1087070107460022,-0.9542138576507568
0.792,-0.07651088386774063,-0.267877995967865,0.11040685325860977,-0.954042911529541
0.812,-0.0775584951043129,-0.26751208305358887,0.11210399121046066,-0.9538630247116089
