t,qx,qy,qz,qw
0.000,0.151876,0.190174,-0.087895,0.965941
0.020,0.154554,0.196256,-0.084487,0.964603
0.036,0.156743,0.200835,-0.081745,0.963543
0.060,0.160092,0.207223,-0.077625,0.961979
0.080,0.162932,0.212113,-0.074188,0.960707
0.100,0.165802,0.216620,-0.070743,0.959469
0.124,0.169276,0.221568,-0.066600,0.958028
0.144,0.172192,0.225401,-0.063153,0.956847
0.160,0.174533,0.228296,-0.060402,0.955913
0.180,0.177466,0.231694,-0.056968,0.954766
0.196,0.179812,0.234233,-0.054225,0.953867
0.216,0.182736,0.237175,-0.050799,0.952772
0.232,0.185067,0.239347,-0.048069,0.951920
0.252,0.187963,0.241846,-0.044660,0.950887
0.276,0.191403,0.244541,-0.040572,0.949694
0.300,0.194794,0.246913,-0.036482,0.948556
0.316,0.197020,0.248321,-0.033754,0.947829
0.336,0.199757,0.249891,-0.030338,0.946959
0.360,0.202975,0.251511,-0.026245,0.945968
0.376,0.205078,0.252444,-0.023520,0.945337
0.400,0.208161,0.253632,-0.019425,0.944438
0.420,0.210668,0.254457,-0.016006,0.943724
0.448,0.214104,0.255526,-0.011198,0.942730
0.472,0.216961,0.256407,-0.006955,0.941879
0.492,0.219296,0.257085,-0.003436,0.941172
0.508,0.221133,0.257578,-0.000622,0.940613
0.524,0.222943,0.258021,0.002188,0.940062
0.548,0.225613,0.258584,0.006390,0.939251
0.568,0.227799,0.258956,0.009875,0.938590
0.584,0.229530,0.259179,0.012636,0.938074
0.600,0.231257,0.259322,0.015325,0.937570
0.616,0.232976,0.259396,0.017980,0.937077
0.632,0.234682,0.259403,0.020626,0.936594
0.648,0.236378,0.259345,0.023263,0.936122
0.668,0.238496,0.259172,0.026502,0.935546
0.692,0.241026,0.258833,0.030368,0.934874
0.712,0.243124,0.258439,0.033593,0.934329
0.732,0.245223,0.257936,0.036805,0.933799
0.752,0.247331,0.257325,0.040001,0.933280
0.772,0.249437,0.256623,0.043207,0.932769
0.792,0.251547,0.255842,0.046422,0.932263
0.812,0.253685,0.255044,0.049640,0.931736
